# Title: March 2025 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-87.5,2.5,-0.57,25
-87.5,7.5,0.03,57
-87.5,12.5,0.09,70
-87.5,17.5,-0.9,24
-87.5,22.5,-0.91,32
-87.5,27.5,0.07,65
-87.5,32.5,-0.3,53
-87.5,37.5,0.12,71
-87.5,42.5,-1.17,17
-87.5,47.5,-0.27,38
-87.5,52.5,-1.07,22
-87.5,57.5,-0.43,36
-87.5,62.5,-0.12,65
-87.5,67.5,-0.4,41
-87.5,72.5,-0.48,58
-87.5,77.5,-0.69,29
-87.5,82.5,-0.31,44
-87.5,87.5,-1.37,12
-87.5,92.5,0.58,100
-87.5,97.5,-1.17,17
-87.5,102.5,-0.4,46
-87.5,107.5,-1.22,15
-87.5,112.5,-0.95,28
-87.5,117.5,-0.32,47
-87.5,122.5,-0.84,36
-87.5,127.5,-0.52,52
-87.5,132.5,0.08,102
-87.5,137.5,-0.4,61
-87.5,142.5,-0.18,80
-87.5,147.5,-0.26,86
-87.5,152.5,-0.19,83
-87.5,157.5,-0.93,38
-87.5,162.5,-1.44,8
-87.5,167.5,-0.58,51
-87.5,172.5,-1.34,26
-87.5,177.5,-1.16,20
-87.5,182.5,0.09,100
-87.5,187.5,-0.98,37
-87.5,192.5,0.23,125
-87.5,197.5,-0.77,31
-87.5,202.5,-1.48,13
-87.5,207.5,-0.41,52
-87.5,212.5,-1.43,16
-87.5,217.5,-0.9,41
-87.5,222.5,-1.32,19
-87.5,227.5,-0.88,41
-87.5,232.5,-1.25,26
-87.5,237.5,-1.09,35
-87.5,242.5,-0.25,67
-87.5,247.5,-1.09,25
-87.5,252.5,-0.04,99
-87.5,257.5,0.11,100
-87.5,262.5,-0.63,26
-87.5,267.5,0.02,77
-87.5,272.5,-0.36,32
-87.5,277.5,0.58,110
-87.5,282.5,-0.55,23
-87.5,287.5,-0.53,34
-87.5,292.5,-0.31,48
-87.5,297.5,0.55,119
-87.5,302.5,0.06,69
-87.5,307.5,1.42,140
-87.5,312.5,-0.43,35
-87.5,317.5,0.25,76
-87.5,322.5,1.02,116
-87.5,327.5,0.11,55
-87.5,332.5,0.51,102
-87.5,337.5,0.63,121
-87.5,342.5,1.11,131
-87.5,347.5,-0.5,40
-87.5,352.5,0.31,68
-87.5,357.5,-0.35,49
-82.5,2.5,-0.34,53
-82.5,7.5,-0.14,60
-82.5,12.5,0.82,108
-82.5,17.5,0.2,88
-82.5,22.5,-0.12,63
-82.5,27.5,-0.73,39
-82.5,32.5,-0.92,43
-82.5,37.5,-0.74,50
-82.5,42.5,-1.13,36
-82.5,47.5,-1.59,22
-82.5,52.5,-1.34,33
-82.5,57.5,-0.43,64
-82.5,62.5,-0.65,48
-82.5,67.5,-0.5,59
-82.5,72.5,-0.41,52
-82.5,77.5,-0.39,82
-82.5,82.5,0.11,82
-82.5,87.5,0.25,101
-82.5,92.5,0.76,134
-82.5,97.5,-0.72,35
-82.5,102.5,-0.41,61
-82.5,107.5,0.04,79
-82.5,112.5,-0.17,62
-82.5,117.5,0.44,117
-82.5,122.5,-0.47,50
-82.5,127.5,-0.26,72
-82.5,132.5,-0.38,61
-82.5,137.5,-0.76,40
-82.5,142.5,-0.4,66
-82.5,147.5,-0.77,41
-82.5,152.5,-0.38,76
-82.5,157.5,-0.15,79
-82.5,162.5,0.3,102
-82.5,167.5,-2.36,15
-82.5,172.5,-1.55,32
-82.5,177.5,-0.73,56
-82.5,182.5,-2.21,21
-82.5,187.5,-1.04,29
-82.5,192.5,-0.94,37
